,단어,유사도
0,퇴출,0.8101048469543457
1,상장,0.7758726477622986
2,판가름,0.7339346408843994
3,심사,0.7313448190689087
4,재심사,0.7306191325187683
5,격성,0.7286584377288818
6,요주,0.7267723083496094
7,존폐,0.7204416990280151
8,이의,0.7201493978500366
9,일내,0.71588134765625
