회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부
미리넷,2010,-47.52642195,-21.93653686,-1.917375915,114.2683953,83.95903119,2012-04-13,1
미주제강,2010,-9.722707598,-10.90294633,-0.42659522,187.0024059,128.3759713,2012-04-17,1
아이스테이션,2010,-6.28960745,-92.28382384,-42.02094538,117.9634904,91.43717472,2012-04-13,1
어울림네트웍스,2010,43.22196842,-80.35627981,-9.27329494,349.0943723,31.78965145,2012-11-17,1
어울림엘시스,2010,14.65194815,-165.9523271,-9.745595756,397.5659879,18.2602652,2012-09-11,1
어울림정보기술,2010,29.91881063,-76.39595521,2.449260453,264.4650644,78.18727846,2012-09-08,1
에스에스씨피,2010,14.27802925,7.370050861,0.798741246,180.2709736,72.2500338,2012-09-29,1
엔하이테크,2010,5.829229707,6.634218537,2.042901054,164.5642099,84.90921369,2012-02-01,1
평안물산,2010,21.63403829,-317.7009094,-26.86752893,543.0587773,15.69444321,2012-06-01,1
네오퍼플,2011,-8.832174725,-16.70078693,0.436795725,160.8509068,75.2818014,2013-05-03,1
디에스,2011,-37.28102464,-11.97936677,-11.13939711,110.4312306,252.0089131,2013-05-01,1
마이스코,2011,1.54158307,0.114044344,-3.060188247,148.2080364,57.04217782,2013-05-04,1
삼우이엠씨,2011,-8.133959108,-2.605670432,-2.250647291,128.8710486,83.63377558,2013-04-12,1
아큐텍,2011,-49.32791663,-65.95907359,-25.55735409,119.6365053,59.12664216,2013-04-23,1
에듀언스,2011,-22.63021068,-58.51482311,-9.349472391,142.4082591,55.35780745,2013-05-01,1
에스비엠,2011,80.30686413,64.69019699,23.96589314,814.099308,74.59502347,2013-07-24,1
위다스,2011,6.079197039,-1.602762297,-14.21642611,194.4180489,34.08506595,2013-09-10,1
유에이블,2011,0.82002294,-164.0755934,-2.78661507,123.6499141,20.93198927,2013-04-23,1
유일엔시스,2011,-10.36146179,-43.95239882,-20.40895338,144.7655401,52.80602941,2013-05-01,1
제너시스템즈,2011,16.9124293,17.12299918,-0.270026311,173.4070723,46.9030094,2013-07-12,1
지아이바이오,2011,16.02132081,-89.08468537,-5.924731399,302.5485672,23.38669719,2013-08-07,1
지앤에스티,2011,2.877127312,-81.61679967,-12.63831702,163.7629078,103.3670058,2013-05-07,1
트라이써클,2011,-21.31090924,-21.10767097,-9.638942519,168.4964931,40.22426544,2013-02-21,1
휴먼텍코리아,2011,-22.97505468,-14.70910102,-15.78364143,114.9026524,86.04057311,2013-04-12,1
우경,2011,-7.432641783,-22.37516962,-5.505464224,123.8858203,65.62550151,2013-07-10,1
이디디컴퍼니,2011,75.64977764,32.90389334,1.466201164,729.3173517,32.12959124,2013-04-12,1
나노트로닉스,2012,15.68928943,4.548653929,8.175179335,180.825234,37.66502523,2014-04-11,1
렉스엘이앤지,2012,-25.26018919,-61.9452084,-49.35866602,100.9097901,47.52317945,2014-03-04,1
모린스,2012,-51.28241013,-28.4541837,-20.44412152,136.1208256,41.99866089,2014-04-11,1
아라온테크,2012,53.77129709,-537.8729913,9.207307906,299.3590005,197.0691115,2014-05-08,1
유니드코리아,2012,-14.87234558,2.571299987,-11.57093885,141.4419677,45.19765719,2014-09-02,1
테라리소스,2012,-15.59407289,-28.2703181,-6.587914152,326.9041435,35.80935678,2014-02-07,1
쌍용건설,2012,-32.20875582,-20.85727077,-12.77002886,91.1544738,131.4350572,2014-04-11,1
에버테크노,2012,-23.25396467,14.24978753,-12.5042722,145.4543542,70.03896553,2014-07-17,1
엠텍비젼,2012,-44.57630695,-73.62533889,-5.980395553,105.382968,15.94333293,2014-03-27,1
태산엘시디,2012,-15.32834661,-14.19910211,-3.229405747,114.4560166,200.3424255,2014-04-11,1
디아이디,2013,0.875485925,-6.848072025,-10.24675682,116.4839718,276.9847296,2015-07-23,1
영진코퍼레이션,2013,7.056839397,-13.36232617,-2.612179763,149.3387687,64.94942422,2015-04-23,1
와이즈파워,2013,-59.3076686,-193.7832128,-21.50065966,111.267601,60.92795583,2015-07-16,1
지티앤티,2013,-36.84247798,-13.40784955,-5.743638291,124.4998266,40.7399764,2015-10-15,1
태창파로스,2013,3.399521022,-267.5141189,-37.52605987,340.6920106,94.2028595,2015-05-19,1
터보테크,2013,-16.00602465,-88.25497168,-5.397061198,129.2705515,42.95434912,2015-01-27,1
티에스엠텍,2013,5.368144284,9.606178836,-5.222385696,125.3660548,63.91883865,2015-05-20,1
해피드림,2013,-25.55867634,-32.19586856,-10.51029807,199.4320624,39.11551219,2015-05-04,1
KCW,2013,4.832730153,26.34705822,1.049364664,158.2714493,120.4640738,2015-09-18,1
에이스하이텍,2013,-1.138145954,-63.30065456,-3.043702215,162.0722418,57.02909043,2015-07-10,1
우양에이치씨,2013,13.16661622,14.74814983,5.806323449,153.3820645,60.53294896,2015-03-17,1
울트라건설,2013,-18.78187423,0.218003941,3.831286327,120.6698557,146.8794878,2015-04-13,1
잘만테크,2013,18.11774442,-6.448430042,3.930511963,152.1402705,96.9122062,2015-05-13,1
승화프리텍,2014,-60.21544741,-212.3293657,-48.54034123,112.8331627,31.5269034,2016-01-25,1
씨엘인터내셔널,2014,8.316236946,-107.3869894,-8.444795127,212.3411953,65.77336258,2016-09-08,1
아이디에스,2014,-65.31829219,-93.44225385,-38.21446885,109.6045072,205.5256669,2016-04-28,1
아이팩토리,2014,-52.48430635,-81.83463121,-8.988651973,120.7251414,17.83887489,2016-09-19,1
엠제이비,2014,41.02924305,-4.624406474,-0.880610252,203.2127569,8.02848156,2016-09-05,1
플렉스컴,2014,-24.32697403,9.36634635,-12.17383415,125.9795075,91.84714892,2016-04-12,1
피엘에이,2014,-30.68650254,-408.8997473,-21.65860343,250.8406667,15.72845646,2016-07-25,1
제이앤유글로벌,2014,25.91339773,45.69997577,-9.094662176,248.468681,58.9023139,2016-05-09,1
비엔씨컴퍼니,2015,7.894474306,-97.84161304,0.912092521,221.1075756,54.8081502,2017-05-08,1
에스에스컴텍,2015,11.15108136,-47.59194732,-1.426060939,126.3956976,13.97103786,2017-05-11,1
엔에스브이,2015,-18.90121792,-24.16817376,-25.04348473,155.1594518,72.9216984,2017-09-12,1
우전,2015,-4.113459503,-24.095553,-1.931994199,108.4190041,76.24555251,2017-04-13,1
케이엔씨글로벌,2015,0.03781897,-84.44380076,-12.09508539,209.617229,35.77102588,2017-03-07,1
프리젠,2015,-0.597022618,-17.34056248,-3.123833496,220.8507331,37.85841158,2017-02-24,1
아이이,2015,1.443145187,-58.26568965,-2.835514651,801.0923694,49.934199,2017-12-20,1
넥스지,2016,54.62462921,67.08658541,-1.056353672,1234.98819,64.38127167,2018-10-11,1
스틸플라워,2016,-32.69423265,-27.80690711,-8.960600381,137.7195093,40.74611704,2018-05-08,1
썬코어,2016,-35.38292169,-59.50255085,-11.18395721,122.9769953,56.13236659,2018-03-15,1
씨그널엔터테인먼트그룹,2016,-11.36975776,-99.72188744,-7.840143573,255.5261178,47.17012743,2018-05-04,1
우성아이비,2016,6.935956745,10.68698166,2.303342763,140.3000583,48.32467996,2018-10-12,1
위너지스,2016,4.206434466,-376.0163672,-21.36003321,105.778735,78.21392335,2018-10-11,1
위노바,2016,28.67160805,-89.40458042,-9.11315688,487.2728847,63.71629081,2018-03-09,1
트레이스,2016,3.857922701,-35.62181533,0.788937554,238.5377625,22.49082281,2018-10-11,1
레이젠,2016,-3.874133328,-5.069384597,-9.353084472,190.7063108,117.3253385,2018-10-11,1
코썬바이오,2018,27.9872751,-67.31099846,-22.71754591,583.1536565,14.55860532,2020-08-11,1
씨제이이엔엠,2009,2.814261532,16.47887894,5.636979326,174.8506434,60.80358738,2011-12-31,0
안랩,2009,47.46649223,50.40074353,8.359978359,545.2179483,56.93915197,2011-12-31,0
포스코아이씨티,2009,-23.17402568,-25.12169756,6.080191495,123.482176,130.0635857,2011-12-31,0
네오위즈,2009,46.03606717,20.6469799,19.27423611,386.9548762,93.02202674,2011-12-31,0
젬백스&카엘,2009,23.31451416,-0.883477493,-8.765436433,238.9519556,12.50772714,2011-12-31,0
덕산하이메탈,2009,11.20083591,22.43507151,5.116725766,430.2355535,34.99356559,2011-12-31,0
메가스터디,2009,41.31950616,78.32987001,29.73493458,573.5834703,83.62909134,2011-12-31,0
서부티엔디,2009,-4.431832367,1.594347847,0.510037209,297.1114669,5.405574892,2011-12-31,0
성우하이텍,2009,10.29269605,17.93880335,2.250833049,139.3599854,94.90195715,2011-12-31,0
성광벤드,2009,47.70768756,57.76410546,16.27958684,429.6391111,72.06058109,2011-12-31,0
인터플렉스,2009,22.67815036,47.03157371,7.364499818,248.9804258,132.9766207,2011-12-31,0
아가방앤컴퍼니,2009,35.24711432,30.90538019,6.88066763,320.6858407,99.52865665,2011-12-31,0
엘엑스세미콘,2009,71.70713445,71.10621301,31.02962001,487.021421,162.3220894,2011-12-31,0
위메이드,2009,79.70156074,29.60050124,20.48114484,770.8216946,36.78235256,2011-12-31,0
멜파스,2009,69.95853572,27.21902048,14.573098,583.2907153,131.9415873,2011-12-31,0
파트론,2009,23.62635514,45.06686317,26.91573711,374.3901559,160.6048169,2011-12-31,0
큐로컴,2009,20.51097479,-106.945239,-11.37434026,443.1466279,15.47325409,2011-12-31,0
웹젠,2009,61.82446907,-1.49958322,-1.169186226,1101.013685,21.02278091,2011-12-31,0
그래디언트,2009,54.23235008,57.81731335,-3.810018665,388.2335951,62.62412973,2011-12-31,0
주성엔지니어링,2009,20.98727165,17.55833634,3.923681178,184.2667999,46.36339284,2011-12-31,0
네패스,2009,14.13781837,27.65285984,9.621716262,224.6723828,98.79216598,2011-12-31,0
삼표시멘트,2009,-24.53461778,-0.454551808,-0.231311615,166.8513511,33.5865674,2011-12-31,0
유진테크,2009,23.48156031,34.83109026,12.66281355,217.7206105,81.2851614,2011-12-31,0
크루셜텍,2009,30.48415794,20.46057844,17.8214151,166.1682708,152.0184938,2011-12-31,0
이오테크닉스,2009,38.11102023,37.06990914,4.993478431,338.5216527,65.95279842,2011-12-31,0
오성첨단소재,2009,-27.89056085,10.04975174,2.475593507,132.4226757,26.08327073,2011-12-31,0
멀티캠퍼스,2009,77.44446178,53.02300515,4.015188263,1371.375894,76.74506663,2011-12-31,0
제이브이엠,2009,-12.93784952,-5.721786347,7.649035453,120.2180631,29.92698341,2011-12-31,0
고영테크놀러지,2009,54.54785666,35.7639328,4.555148969,369.0646086,54.02517128,2011-12-31,0
톱텍,2009,34.33294656,21.98513261,10.4493502,220.4878775,98.39257742,2011-12-31,0
폴라리스오피스,2009,35.57772025,32.3100021,10.80503806,386.4946045,60.94536319,2011-12-31,0
휴맥스,2009,25.14265397,-3.183747282,1.578031986,197.2920523,33.89137956,2011-12-31,0
루멘스,2009,19.27671266,5.549844013,3.144031593,192.7868645,73.10468588,2011-12-31,0
큐렉소,2009,40.55532365,-108.1008205,-13.89437946,281.3313041,83.56972611,2011-12-31,0
드래곤플라이,2009,1.334121181,46.67152253,18.65726519,397.0590039,40.29701658,2011-12-31,0
파트론,2010,7.569837229,36.84850828,17.90340504,231.9029029,143.1036742,2012-12-31,0
태광,2010,63.02239236,74.96253095,0.079984643,774.4577053,65.42464059,2012-12-31,0
포스코엠텍,2010,31.61699268,18.49997551,4.8499499,204.6610115,179.1445664,2012-12-31,0
