,단어,유사도
0,상장폐지,0.8358172178268433
1,상폐,0.7539972066879272
2,재심사,0.730620265007019
3,적격성,0.7140982151031494
4,폐가,0.7135649919509888
5,현행,0.7016512751579285
6,날로,0.6993712782859802
7,스탠다드펌,0.6954724788665771
8,이의신청,0.6867077946662903
9,탄원서,0.6861696243286133
