,기업,부도기사비율
0,경창산업,10.0
1,고영테크놀러지,6.521739130434782
2,광림,9.090909090909092
3,금화피에스시,21.428571428571427
4,나스미디어,2.898550724637681
5,네오위즈,4.761904761904762
6,네패스,7.228915662650602
7,다날,7.142857142857142
8,다우데이타,10.76923076923077
9,다원시스,10.76923076923077
10,대주전자재료,1.4388489208633095
11,대한광통신,3.3333333333333335
12,덕산하이메탈,8.13953488372093
13,덱스터스튜디오,50.0
14,동국산업,25.0
15,동국에스엔씨,18.181818181818183
16,동원개발,9.45945945945946
17,동진쎄미켐,0.0
18,드래곤플라이,4.3478260869565215
19,디티앤씨,5.555555555555555
20,라이온켐텍,10.256410256410255
21,레드로버,11.940298507462686
22,루멘스,12.5
23,리드코프,18.64406779661017
24,마크로젠,9.433962264150944
25,멀티캠퍼스,32.0
26,메가스터디,6.122448979591836
27,메카로,10.0
28,멜파스,9.0
29,미래나노텍,12.987012987012985
30,블루콤,2.4390243902439024
31,삼에스코리아,17.543859649122805
32,상상인,12.121212121212121
33,서부티엔디,8.108108108108109
34,서원인텍,5.0
35,성광벤드,22.22222222222222
36,성우하이텍,5.88235294117647
37,세종텔레콤,17.94871794871795
38,셀트리온,7.142857142857142
39,쇼박스,20.0
40,슈피겐코리아,5.194805194805195
41,신진에스엠,12.903225806451612
42,씨제이이엔엠,14.285714285714285
43,아가방앤컴퍼니,6.666666666666667
44,아미코젠,1.639344262295082
45,아바텍,9.195402298850574
46,아스트,6.097560975609756
47,아이원스,19.230769230769234
48,안랩,0.0
49,알티캐스트,1.694915254237288
50,앤디포스,0.9615384615384616
51,에스맥,8.661417322834646
52,에스에이엠티,20.0
53,에스에프에이반도체,0.0
54,에스티큐브,3.669724770642202
55,에이치엘비,0.0
56,에코프로,2.3255813953488373
57,영풍정밀,18.91891891891892
58,오리엔탈정공,35.064935064935064
59,와이솔,7.042253521126761
60,우주일렉트로닉스,13.333333333333334
61,원익머트리얼즈,5.172413793103448
62,웹젠,4.0
63,위닉스,11.11111111111111
64,위메이드,6.896551724137931
65,유니슨,15.714285714285714
66,유진기업,20.51282051282051
67,유진테크,10.112359550561797
68,이녹스,6.172839506172839
69,이라이콤,6.578947368421052
70,이엠코리아,12.5
71,이엠텍,4.545454545454546
72,이오테크닉스,12.631578947368421
73,인터플렉스,12.222222222222221
74,잉크테크,20.28985507246377
75,제이브이엠,12.195121951219512
76,제이스텍,17.073170731707318
77,젬백스&카엘,11.214953271028037
78,주성엔지니어링,15.294117647058824
79,지니뮤직,0.0
80,컴투스,12.307692307692308
81,케이에이치바텍,14.285714285714285
82,케이엠더블유,12.658227848101266
83,케이지이니시스,11.11111111111111
84,켐트로닉스,8.108108108108109
85,코나아이,17.46031746031746
86,코데즈컴바인,48.4375
87,코스메카코리아,5.454545454545454
88,코스온,6.25
89,코웰패션,10.638297872340425
90,큐렉소,27.27272727272727
91,큐로컴,18.548387096774192
92,크루셜텍,10.1010101010101
93,크리스에프앤씨,3.508771929824561
94,클리오,3.4482758620689653
95,태광,14.705882352941178
96,테스,0.0
97,테크윙,14.084507042253522
98,토비스,12.82051282051282
99,톱텍,9.45945945945946
100,티케이케미칼,16.666666666666664
101,팅크웨어,4.444444444444445
102,파트론,10.465116279069768
103,포스코아이씨티,22.22222222222222
104,포스코엠텍,20.588235294117645
105,폴라리스오피스,7.317073170731707
106,하나마이크론,10.869565217391305
107,하이록코리아,7.246376811594203
108,한국정보통신,0.0
109,해성산업,15.0
110,홈캐스트,9.090909090909092
111,휴맥스,13.157894736842104
