,단어,유사도
0,퇴출,0.7956640124320984
1,상장,0.782565712928772
2,재심사,0.7671449184417725
3,격성,0.741982638835907
4,판가름,0.7202675342559814
5,심사,0.7186772227287292
6,이의,0.709614634513855
7,실질,0.7083795070648193
8,속개,0.7037609815597534
9,존폐,0.7001211643218994
