회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부,부정기사비율
유진기업,2010,-24.23150392,14.35022699,2.443628762,154.4373543,53.71564942,2012-12-31,0,30.76923076923077
코나아이,2010,42.67926755,25.30563989,15.22653375,218.5722812,76.23818049,2012-12-31,0,4.6875
케이엠더블유,2010,-14.56824268,0.446992498,3.700063033,132.1469665,74.52308883,2012-12-31,0,12.676056338028168
원익머트리얼즈,2010,16.35656742,45.60280618,21.00997311,318.6278791,92.92287634,2012-12-31,0,10.344827586206897
다날,2010,18.57583995,9.842343227,5.835766702,198.0549991,56.74060696,2012-12-31,0,14.285714285714285
큐로컴,2010,19.98108137,-101.153576,3.010279263,439.0349438,19.63961611,2012-12-31,0,19.607843137254903
이라이콤,2010,-4.752522946,38.15648773,8.525488568,165.309043,179.6726389,2012-12-31,0,2.5974025974025974
모다이노칩,2010,44.0589631,59.25756558,10.13752986,431.5747248,70.4800431,2012-12-31,0,0.0
동성화인텍,2010,-11.23046343,-4.502101581,4.940513815,147.2806354,78.12557507,2012-12-31,0,0.0
잉크테크,2010,-10.920156,12.43003826,-1.537658595,175.5679691,62.28498062,2012-12-31,0,8.333333333333332
이엠텍,2010,22.39060512,33.895825,-3.325472995,217.8787368,131.4567939,2012-12-31,0,22.727272727272727
동진쎄미켐,2010,-18.68769416,3.814649412,4.462482646,136.9668846,82.83216031,2012-12-31,0,16.666666666666664
아바텍,2010,12.30070449,61.18364876,19.96733286,526.334184,157.8714829,2012-12-31,0,21.59090909090909
영풍정밀,2010,24.23456156,71.15040862,9.432884101,501.3139766,57.54770661,2012-12-31,0,31.57894736842105
하나마이크론,2010,-25.80284261,13.27977038,10.0912038,149.5902862,95.28071224,2012-12-31,0,14.893617021276595
이녹스,2010,21.36839147,18.51487998,13.10306111,209.2808216,102.1225781,2012-12-31,0,4.938271604938271
티케이케미칼,2010,-14.3329608,12.77935231,16.74968941,145.9728315,207.4081186,2012-12-31,0,14.814814814814813
에스에이엠티,2010,-2.3463684,-37.43139301,8.529452981,117.2848399,541.8434228,2012-12-31,0,30.0
엔에이치엔벅스,2010,45.69793734,24.51082112,7.787333006,381.5790997,61.72137468,2012-12-31,0,0.0
동국에스엔씨,2010,44.45642448,10.28554456,-5.548822361,628.7250794,36.46619686,2012-12-31,0,36.36363636363637
서원인텍,2010,37.49723214,54.374489,2.960339498,396.3128377,163.5519418,2012-12-31,0,7.317073170731707
팅크웨어,2010,45.23670217,52.4812313,15.95387464,297.9991709,151.6475439,2012-12-31,0,26.666666666666668
케이지이니시스,2011,25.7886961,33.71696081,6.246171258,230.3638984,85.22679007,2013-12-31,0,33.33333333333333
삼에스코리아,2011,8.847094351,-40.96052002,7.985925109,197.9128537,75.05610077,2013-12-31,0,17.24137931034483
슈프리마에이치큐,2011,68.19326314,34.53844441,5.174087911,1251.52945,39.89923065,2013-12-31,0,0.0
해성산업,2011,8.097573503,40.42279819,2.548792606,924.7943521,9.131882944,2013-12-31,0,14.285714285714285
레드로버,2011,59.39826782,1.199228542,8.584774635,336.6716045,67.27855596,2013-12-31,0,19.11764705882353
금화피에스시,2011,53.3560723,77.5981164,16.64037173,528.2138355,87.85671279,2013-12-31,0,28.169014084507044
쇼박스,2011,44.27275156,28.32361909,-4.290015798,467.9210742,39.71292906,2013-12-31,0,0.0
리드코프,2011,37.85368703,20.23157236,12.48109795,153.7073164,60.17240553,2013-12-31,0,15.517241379310345
신진에스엠,2011,59.70471908,51.82678446,15.9730932,531.4866841,71.60217305,2013-12-31,0,15.151515151515152
위닉스,2011,18.58934879,43.52366828,1.373292465,213.122592,152.4416765,2013-12-31,0,10.9375
동국산업,2011,28.56951563,13.14951393,4.427540518,219.091799,67.53378214,2013-12-31,0,16.0
