,단어,유사도
0,상장폐지,0.8003185391426086
1,상폐,0.7506296038627625
2,재심사,0.738555371761322
3,적격성,0.7176122665405273
4,날로,0.7157983183860779
5,이의신청,0.7056064605712891
6,현행,0.7008245587348938
7,거치,0.6927724480628967
8,존폐,0.6919588446617126
9,스탠다드펌,0.6887820363044739
