,회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
65,클루넷,2011,0.588292311,-142.3321913,-29.17402624,155.8139834,130.5339922,1
66,태창파로스,2014,-19.31105604,-450.6712319,-19.69214548,207.194615,107.10441440000001,1
67,티에스엠텍,2014,-4.943725399,1.121581067,-5.872243052999999,116.2946017,72.14212233,1
68,평산,2011,-81.70938054,-82.70439786,-3.6508246260000004,87.71358977,65.26380871,1
69,폴리플러스,2011,-15.158763699999998,-374.18930930000005,-48.38397442,153.6242693,116.0943929,1
70,플렉스컴,2015,-50.80107756,-21.33124805,-21.49236373,96.83296216,123.7201406,1
71,피엘에이,2015,-76.09423003,-762.3632282000001,-32.80110274,98.37053763,10.84238284,1
72,한와이어리스,2010,-157.6297839,-523.6314161,-63.3905826,42.49265857,93.09841806,1
73,해피드림,2014,-22.99968543,-31.30572931,0.46544318700000004,215.0027912,23.13616383,1
74,휴먼텍코리아,2012,-72.97223173,-84.45018635,-33.129612800000004,70.12690435,141.7215832,1
75,히스토스템,2010,6.4428208179999995,-47.18962141,-9.845570431,129.8454403,3.766878042,1
76,KCW,2014,7.832890397000001,28.37176256,-0.02924498,165.7353132,129.1481923,1
77,글로웍스,2010,19.07753182,-412.24208839999994,-84.06898892,282.5934555,7.409762509,1
78,금강제강,2011,-6.701996349,16.81830126,-2.753517154,146.10026240000002,86.90454923,1
79,나이스메탈,2010,24.90377894,-24.55042652,-3.575043355,176.41811380000001,293.0420026,1
80,네스테크,2010,-13.9508566,-31.04267801,-0.149783573,168.313784,55.76714441,1
81,대선조선,2010,-34.76768331,-48.07983052,-13.5980673,88.77434503,26.890273200000003,1
82,동양텔레콤,2011,-32.4310182,-59.00827433,-7.58405721,113.5283631,81.21625882,1
83,미리넷,2011,-102.36955329999999,-218.81204359999998,-35.4854383,55.89957169,36.02135641,1
84,미주제강,2011,-19.13964914,-31.73110722,-4.087320051,149.67497690000002,103.91798399999999,1
85,쌍용건설,2013,-66.88725046,-98.08216686,-19.16882643,62.39214037,183.725771,1
86,아이스테이션,2011,-829.3310558,-1248.8147880000001,-1203.945215,11.31326709,801.2731464999999,1
87,어울림네트웍스,2011,-6.030398739,-493.72070539999993,-15.73745004,154.2999041,138.7838607,1
88,어울림엘시스,2011,6.987106923,-630.5311569,-4.216576885,228.320665,62.65939895,1
89,어울림정보기술,2011,21.96615856,-329.23276719999996,-13.00275164,162.1472776,158.8781956,1
90,에버테크노,2013,-57.09128949,-27.698057000000002,-23.09871755,101.30373829999999,78.32065327,1
91,에스에스씨피,2011,17.30881334,3.831275994,0.22484151100000002,164.0952436,27.13244638,1
92,에이스하이텍,2014,-9.344929966,-134.4953406,-17.14348287,345.71669060000005,29.75706114,1
93,엔빅스,2010,-13.90293927,-72.30524659,-16.35934929,138.1916001,49.84557408,1
94,엠텍비젼,2013,-83.67035433,-80.68153165,-3.0874038969999997,103.04220699999999,11.02709097,1
95,우경,2012,-9.964759896,-29.82913454,0.41832009,115.13070520000001,85.21179808,1
96,울트라건설,2014,-58.71193114,-65.14219487,-17.91312305,74.66907914,106.0003187,1
97,이디디컴퍼니,2012,-70.33734957,-194.99091840000003,-88.31687124,117.7489207,64.71042653,1
98,잘만테크,2014,-45.69733301,-84.54244097,-38.16036981,104.80064920000001,74.55219407,1
99,제이앤유글로벌,2015,31.93437014,22.14297776,-0.445479491,180.01442680000002,44.36600954,1
100,태산엘시디,2013,-30.72498566,-44.68136507,-4.069703808,82.43542746,3.250003361,1
101,넥스지,2017,54.42663562,69.63633052,-0.314490469,1080.171296,53.46202764,1
102,데코앤이,2018,16.07420485,-77.010986,-6.109142017999999,182.287352,77.58592853,1
103,비엔씨컴퍼니,2016,33.64107558,-55.00596546,-16.61568152,360.6700069,38.62159922,1
104,스틸플라워,2017,-64.27855772,-65.2021519,-21.94951944,110.4984541,31.11808068,1
105,신양오라컴,2016,0.524447222,-84.96090249,-8.607740292,123.61663490000002,127.17723259999998,1
106,씨그널엔터테인먼트그룹,2017,12.9030054,-28.08750136,1.376047326,252.6575758,64.01109759,1
107,C&S자산관리,2017,0.534983568,-31.47295558,-2.508286085,105.9159548,91.03548303,1
108,에스에스컴텍,2016,-15.31079466,-341.1831805,-46.71291693,105.00093590000002,154.792926,1
109,에임하이,2017,16.40256775,-24.44418305,-6.956219368999999,1726.4350969999998,15.3608238,1
110,에프티이앤이,2018,6.13102623,-112.90024050000001,-12.57996676,152.5341106,62.293986600000004,1
111,엔에스브이,2016,-46.17952058,-74.78862337,-31.12750009,129.5498335,63.67602939,1
112,우성아이비,2017,26.22898326,-16.91445649,-25.96600471,129.52687,52.41664516,1
113,우전,2016,-141.04531630000002,-172.4496197,-5.583747338999999,55.12633299,97.50889804,1
114,위너지스,2017,24.03943687,-310.9845059,-15.54502352,233.7331141,23.18018164,1
115,제이테크놀로지,2018,37.32912029,-66.66550399,-15.41434059,581.0681429,40.3824217,1
116,트레이스,2017,-23.42678435,-164.8906693,-34.51107293,186.80863359999998,9.624472547,1
117,레이젠,2017,-24.03549306,-47.89721281,-16.8964609,150.4823864,120.1496121,1
118,완리,2017,13.71609985,50.82314451,6.605297068,317.402838,36.36444213,1
119,신텍,2017,-12.59777446,-38.609941299999996,-14.80358658,127.09413490000001,62.01927945,1
120,덕산하이메탈,2010,9.383319367999999,27.55134107,11.7575909,608.5818661000001,64.9350615,0
121,포스코아이씨티,2010,8.672773024,-1.5949829269999998,3.8358378460000004,168.4022108,129.9005952,0
122,성우하이텍,2010,4.058351334,19.74931331,1.4915535969999998,143.3076464,117.02980840000001,0
123,멜파스,2010,31.36534909,39.21204574,21.70021649,432.95353289999997,145.0556659,0
124,네오위즈,2010,14.95246383,20.37010671,22.35253266,262.2126072,101.8162303,0
125,엘엑스세미콘,2010,76.61962677,50.54945635,15.38536108,645.708622,106.5775631,0
126,동국에스엔씨,2010,44.45642448,10.28554456,-5.548822361,628.7250794,36.46619686,0
127,파트론,2010,7.569837229,36.84850828,17.90340504,231.90290290000002,143.10367419999997,0
128,태웅,2010,42.07769052,47.03197041,2.098037297,433.8065643,64.97002478,0
129,인터플렉스,2010,9.91482255,44.95137434,10.50148276,208.5307241,141.9186628,0
130,네오위즈,2010,14.95246383,20.37010671,22.35253266,262.2126072,101.8162303,0
131,크루셜텍,2010,40.93717194,22.80233968,19.29449241,212.4768528,164.81034540000002,0
132,이오테크닉스,2010,36.76034878,33.99500652,18.43961485,309.35591949999997,82.77073338,0
133,주성엔지니어링,2010,11.73390311,20.14443811,10.08011062,188.1735725,90.31377702,0
134,휴맥스,2010,25.00587733,2.177286477,7.484043214,201.94224409999998,137.9776409,0
135,멀티캠퍼스,2010,69.16786687,54.48402237,3.5502994919999997,1344.784962,61.8921652,0
136,서부티엔디,2010,-0.52392928,1.331492407,0.415757819,266.79816600000004,4.761949006,0
137,태광,2010,63.02239236,74.96253095,0.079984643,774.4577052999999,65.42464059,0
138,네패스,2010,4.614320039,20.22391625,7.709368071,195.95513019999999,84.91619832,0
139,에스엔유프리시젼,2010,51.02830531,20.53124489,4.351214448,318.97240780000004,51.69282293,0
