회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
피엘에이,2015,-76.09423003,-762.3632282,-32.80110274,98.37053763,10.84238284,1
한와이어리스,2010,-157.6297839,-523.6314161,-63.3905826,42.49265857,93.09841806,1
해피드림,2014,-22.99968543,-31.30572931,0.465443187,215.0027912,23.13616383,1
휴먼텍코리아,2012,-72.97223173,-84.45018635,-33.1296128,70.12690435,141.7215832,1
히스토스템,2010,6.442820818,-47.18962141,-9.845570431,129.8454403,3.766878042,1
KCW,2014,7.832890397,28.37176256,-0.02924498,165.7353132,129.1481923,1
글로웍스,2010,19.07753182,-412.2420884,-84.06898892,282.5934555,7.409762509,1
금강제강,2011,-6.701996349,16.81830126,-2.753517154,146.1002624,86.90454923,1
나이스메탈,2010,24.90377894,-24.55042652,-3.575043355,176.4181138,293.0420026,1
네스테크,2010,-13.9508566,-31.04267801,-0.149783573,168.313784,55.76714441,1
대선조선,2010,-34.76768331,-48.07983052,-13.5980673,88.77434503,26.8902732,1
동양텔레콤,2011,-32.4310182,-59.00827433,-7.58405721,113.5283631,81.21625882,1
미리넷,2011,-102.3695533,-218.8120436,-35.4854383,55.89957169,36.02135641,1
미주제강,2011,-19.13964914,-31.73110722,-4.087320051,149.6749769,103.917984,1
쌍용건설,2013,-66.88725046,-98.08216686,-19.16882643,62.39214037,183.725771,1
아이스테이션,2011,-829.3310558,-1248.814788,-1203.945215,11.31326709,801.2731465,1
어울림네트웍스,2011,-6.030398739,-493.7207054,-15.73745004,154.2999041,138.7838607,1
어울림엘시스,2011,6.987106923,-630.5311569,-4.216576885,228.320665,62.65939895,1
어울림정보기술,2011,21.96615856,-329.2327672,-13.00275164,162.1472776,158.8781956,1
에버테크노,2013,-57.09128949,-27.698057,-23.09871755,101.3037383,78.32065327,1
에스에스씨피,2011,17.30881334,3.831275994,0.224841511,164.0952436,27.13244638,1
에이스하이텍,2014,-9.344929966,-134.4953406,-17.14348287,345.7166906,29.75706114,1
엔빅스,2010,-13.90293927,-72.30524659,-16.35934929,138.1916001,49.84557408,1
엠텍비젼,2013,-83.67035433,-80.68153165,-3.087403897,103.042207,11.02709097,1
우경,2012,-9.964759896,-29.82913454,0.41832009,115.1307052,85.21179808,1
울트라건설,2014,-58.71193114,-65.14219487,-17.91312305,74.66907914,106.0003187,1
이디디컴퍼니,2012,-70.33734957,-194.9909184,-88.31687124,117.7489207,64.71042653,1
잘만테크,2014,-45.69733301,-84.54244097,-38.16036981,104.8006492,74.55219407,1
제이앤유글로벌,2015,31.93437014,22.14297776,-0.445479491,180.0144268,44.36600954,1
태산엘시디,2013,-30.72498566,-44.68136507,-4.069703808,82.43542746,3.250003361,1
넥스지,2017,54.42663562,69.63633052,-0.314490469,1080.171296,53.46202764,1
